Frame Number,Timecode,delta_hue,delta_lum,delta_hsv_avg,delta_sat
1,00:00:00.033,32.7924382716,9.11567901235,14.6225720165,1.95959876543
2,00:00:00.066,20.9903395062,6.63348765432,9.84994855967,1.92601851852
3,00:00:00.100,0.478425925926,0.0829320987654,0.209773662551,0.067962962963
4,00:00:00.133,16.1342901235,7.81719135802,8.7537345679,2.30972222222
5,00:00:00.166,0.20274691358,0.0772839506173,0.115699588477,0.0670679012346
6,00:00:00.200,15.822962963,8.96595679012,9.07375514403,2.43234567901
7,00:00:00.233,15.9941666667,9.60734567901,9.41067901235,2.63052469136
8,00:00:00.266,14.4226851852,9.88154320988,9.01833333333,2.75077160494
9,00:00:00.300,14.9111111111,10.8100617284,9.63696502058,3.18972222222
10,00:00:00.333,13.8840432099,10.4214197531,9.21941358025,3.35277777778
11,00:00:00.367,12.7516975309,10.4990740741,9.0221399177,3.81564814815
12,00:00:00.400,12.0825617284,10.3850617284,8.82008230453,3.99262345679
13,00:00:00.433,9.29919753086,9.93910493827,7.68095679012,3.80456790123
14,00:00:00.467,7.58086419753,7.7974382716,6.32695473251,3.6025617284
15,00:00:00.500,5.8424382716,6.93040123457,5.29350823045,3.10768518519
16,00:00:00.533,4.2575,5.25077160494,4.04068930041,2.6137962963
17,00:00:00.567,0.509845679012,0.185709876543,0.306635802469,0.224351851852
18,00:00:00.600,0.480401234568,0.387839506173,0.417633744856,0.384660493827
19,00:00:00.633,0.435432098765,0.176604938272,0.273919753086,0.209722222222
20,00:00:00.667,1.26487654321,0.728487654321,0.879125514403,0.644012345679
21,00:00:00.700,2.88885802469,0.423734567901,1.31181069959,0.622839506173
22,00:00:00.734,1.45277777778,0.940679012346,1.0579218107,0.780308641975
23,00:00:00.767,0.257901234568,0.0913580246914,0.150504115226,0.10225308642
24,00:00:00.800,4.43037037037,0.940524691358,2.13177983539,1.02444444444
25,00:00:00.834,0.493641975309,0.359444444444,0.391440329218,0.321234567901
26,00:00:00.867,0.289382716049,0.0668209876543,0.153744855967,0.105030864198
27,00:00:00.900,1.68336419753,0.642098765432,1.00474279835,0.688765432099
28,00:00:00.934,0.609722222222,0.140802469136,0.308446502058,0.174814814815
29,00:00:00.967,0.459135802469,0.352469135802,0.368621399177,0.294259259259
30,00:00:01.001,0.581975308642,0.140401234568,0.305925925926,0.195401234568
31,00:00:01.034,0.73962962963,0.365339506173,0.481018518519,0.338086419753
32,00:00:01.067,0.310061728395,0.0625308641975,0.151965020576,0.0833024691358
33,00:00:01.101,2.72962962963,0.724598765432,1.42320987654,0.815401234568
34,00:00:01.134,0.460154320988,0.0800308641975,0.220072016461,0.120030864198
35,00:00:01.167,0.416481481481,0.511543209877,0.441779835391,0.397314814815
36,00:00:01.201,0.105648148148,0.0400617283951,0.0678189300412,0.0577469135802
37,00:00:01.234,0.653611111111,0.490154320988,0.512242798354,0.392962962963
38,00:00:01.267,0.21700617284,0.0349382716049,0.101399176955,0.0522530864198
39,00:00:01.301,1.85132716049,0.55962962963,0.990761316872,0.561327160494
40,00:00:01.334,0.213271604938,0.0637037037037,0.124434156379,0.0963271604938
41,00:00:01.368,0.393395061728,0.280524691358,0.29725308642,0.217839506173
42,00:00:01.401,0.160401234568,0.0274691358025,0.0801131687243,0.0524691358025
43,00:00:01.434,0.28537037037,0.282407407407,0.279938271605,0.272037037037
44,00:00:01.468,0.828919753086,0.122345679012,0.383004115226,0.19774691358
45,00:00:01.501,0.628518518519,0.425956790123,0.472479423868,0.362962962963
46,00:00:01.534,0.645030864198,0.0876851851852,0.294372427984,0.150401234568
47,00:00:01.568,0.800925925926,0.376666666667,0.517788065844,0.375771604938
48,00:00:01.601,0.562438271605,0.164444444444,0.314104938272,0.215432098765
49,00:00:01.634,0.517345679012,0.395895061728,0.415349794239,0.332808641975
50,00:00:01.668,0.176450617284,0.0503086419753,0.102695473251,0.0813271604938
51,00:00:01.701,0.277592592593,0.229814814815,0.247541152263,0.235216049383
52,00:00:01.735,0.199722222222,0.0409567901235,0.103816872428,0.0707716049383
53,00:00:01.768,0.442901234568,0.34987654321,0.373621399177,0.328086419753
54,00:00:01.801,0.46975308642,0.496234567901,0.470534979424,0.445617283951
55,00:00:01.835,0.103580246914,0.0320061728395,0.0589197530864,0.0411728395062
56,00:00:01.868,0.27462962963,0.263117283951,0.244341563786,0.195277777778
57,00:00:01.901,0.0631481481481,0.0344135802469,0.0477674897119,0.0457407407407
58,00:00:01.935,0.315833333333,0.386203703704,0.329094650206,0.28524691358
59,00:00:01.968,0.0714197530864,0.00938271604938,0.0302160493827,0.00984567901235
60,00:00:02.002,1.18077160494,0.564567901235,0.757016460905,0.525709876543
61,00:00:02.035,0.345925925926,0.059012345679,0.163096707819,0.0843518518519
62,00:00:02.068,0.306141975309,0.309783950617,0.301018518519,0.28712962963
63,00:00:02.102,0.131790123457,0.0194135802469,0.0606275720165,0.0306790123457
64,00:00:02.135,0.343518518519,0.403827160494,0.359969135802,0.332561728395
65,00:00:02.168,0.112067901235,0.0229012345679,0.0575411522634,0.0376543209877
66,00:00:02.202,0.459783950617,0.559012345679,0.482386831276,0.428364197531
67,00:00:02.235,0.0771913580247,0.0206790123457,0.0431790123457,0.0316666666667
68,00:00:02.268,0.470216049383,0.636234567901,0.522561728395,0.461234567901
69,00:00:02.302,0.0613271604938,0.0166666666667,0.0326131687243,0.0198456790123
70,00:00:02.335,0.365617283951,0.442469135802,0.388055555556,0.356080246914
71,00:00:02.369,0.256265432099,0.104259259259,0.175884773663,0.16712962963
72,00:00:02.402,0.423055555556,0.565308641975,0.476224279835,0.440308641975
73,00:00:02.435,0.0481481481481,0.0148456790123,0.0296296296296,0.0258950617284
74,00:00:02.469,0.506080246914,0.373611111111,0.418858024691,0.376882716049
75,00:00:02.502,0.0706172839506,0.00805555555556,0.030853909465,0.0138888888889
76,00:00:02.535,0.380030864198,0.399537037037,0.379763374486,0.359722222222
77,00:00:02.569,0.0501851851852,0.0126543209877,0.0281172839506,0.021512345679
78,00:00:02.602,0.585740740741,0.560462962963,0.527098765432,0.435092592593
79,00:00:02.635,0.0586111111111,0.0101851851852,0.0296502057613,0.0201543209877
80,00:00:02.669,0.469320987654,0.493888888889,0.468220164609,0.441450617284
81,00:00:02.702,0.00518518518519,0.00904320987654,0.00878600823045,0.0121296296296
82,00:00:02.736,0.384166666667,0.477067901235,0.411965020576,0.374660493827
83,00:00:02.769,0.00311728395062,0.00691358024691,0.00704732510288,0.0111111111111
84,00:00:02.802,0.405771604938,0.438611111111,0.400133744856,0.356018518519
85,00:00:02.836,0.0354012345679,0.00929012345679,0.0176131687243,0.00814814814815
86,00:00:02.869,0.275308641975,0.375524691358,0.316893004115,0.299845679012
87,00:00:02.902,0.0370061728395,0.0103395061728,0.0222942386831,0.019537037037
88,00:00:02.936,0.255771604938,0.339907407407,0.286913580247,0.265061728395
89,00:00:02.969,0.0221296296296,0.00808641975309,0.0148559670782,0.0143518518519
90,00:00:03.003,0.358518518519,0.60274691358,0.458261316872,0.413518518519
91,00:00:03.036,0.045524691358,0.0147839506173,0.0274074074074,0.0219135802469
92,00:00:03.069,0.410555555556,0.709351851852,0.523940329218,0.451913580247
93,00:00:03.103,0.035462962963,0.0199074074074,0.0284773662551,0.0300617283951
94,00:00:03.136,0.319104938272,0.599012345679,0.440853909465,0.404444444444
95,00:00:03.169,0.121820987654,0.0863271604938,0.113004115226,0.130864197531
96,00:00:03.203,1.1625617284,1.35354938272,1.06271604938,0.672037037037
97,00:00:03.236,4.82709876543,5.91824074074,4.5853909465,3.01083333333
98,00:00:03.269,6.47444444444,7.78154320988,5.99674897119,3.73425925926
99,00:00:03.303,7.06182098765,8.82700617284,6.68775720165,4.17444444444
100,00:00:03.336,9.17969135802,10.5315432099,8.1766563786,4.8187345679
101,00:00:03.370,10.4726234568,11.7193518519,9.09278806584,5.08638888889
102,00:00:03.403,11.8672530864,12.8101234568,10.0595473251,5.5012654321
103,00:00:03.436,13.0480555556,13.4718209877,10.59218107,5.25666666667
104,00:00:03.470,16.2182716049,14.3133333333,11.9280144033,5.2524382716
105,00:00:03.503,16.4219753086,14.1467592593,11.789218107,4.79891975309
106,00:00:03.536,18.3021296296,14.8605864198,12.4357716049,4.14459876543
107,00:00:03.570,18.5415432099,14.3743518519,12.2061522634,3.7025617284
108,00:00:03.603,21.6752469136,15.1962037037,13.5249074074,3.70327160494
109,00:00:03.636,40.462345679,15.5005246914,20.0717078189,4.25225308642
110,00:00:03.670,26.445462963,11.4824074074,13.3623662551,2.15922839506
111,00:00:03.703,53.4418518519,34.1408950617,34.7849074074,16.7719753086
112,00:00:03.737,0.259660493827,0.126481481481,0.144722222222,0.048024691358
113,00:00:03.770,0.631296296296,0.183179012346,0.323230452675,0.155216049383
114,00:00:03.803,0.655709876543,0.285432098765,0.398220164609,0.253518518519
115,00:00:03.837,0.84274691358,0.408734567901,0.523004115226,0.317530864198
116,00:00:03.870,27.7653395062,0.61512345679,10.008281893,1.64438271605
117,00:00:03.903,1.38407407407,0.0419444444444,0.502222222222,0.0806481481481
118,00:00:03.937,0.713055555556,1.20212962963,0.647613168724,0.0276543209877
119,00:00:03.970,29.3334567901,0.0329012345679,10.3714300412,1.74793209877
120,00:00:04.004,0.0926234567901,0.0113580246914,0.0358230452675,0.00348765432099
121,00:00:04.037,0.0843827160494,0.00425925925926,0.0305864197531,0.00311728395062
122,00:00:04.070,0.0976234567901,0.00429012345679,0.0349176954733,0.00283950617284
123,00:00:04.104,0.0866358024691,0.00527777777778,0.0315843621399,0.00283950617284
124,00:00:04.137,0.0392901234568,0.00351851851852,0.0146913580247,0.00126543209877
125,00:00:04.170,0.041450617284,0.00333333333333,0.0154012345679,0.00141975308642
126,00:00:04.204,28.8437654321,1.31641975309,10.6668415638,1.84033950617
127,00:00:04.237,1.74225308642,0.0908024691358,0.647304526749,0.108858024691
128,00:00:04.270,0.514444444444,1.19654320988,0.574711934156,0.0131481481481
129,00:00:04.304,29.2224691358,0.0106481481481,10.3268312757,1.74737654321
130,00:00:04.337,0.0201543209877,0.000740740740741,0.00719135802469,0.000679012345679
131,00:00:04.371,0.0853703703704,0.00641975308642,0.031450617284,0.00256172839506
132,00:00:04.404,0.0825925925926,0.00833333333333,0.0314094650206,0.0033024691358
133,00:00:04.437,28.0924074074,0.00533950617284,9.92687242798,1.68287037037
134,00:00:04.471,1.03611111111,0.00222222222222,0.366224279835,0.0603395061728
135,00:00:04.504,0.0612037037037,0.00549382716049,0.0230349794239,0.00240740740741
136,00:00:04.537,28.0535802469,0.00722222222222,9.91413580247,1.68160493827
137,00:00:04.571,0.276882716049,0.0207407407407,0.104979423868,0.0173148148148
138,00:00:04.604,0.249104938272,0.00820987654321,0.0887962962963,0.00907407407407
139,00:00:04.637,0.182962962963,0.0154012345679,0.0686522633745,0.00759259259259
140,00:00:04.671,28.4475308642,0.0275925925926,10.0525514403,1.6825308642
141,00:00:04.704,0.647839506173,0.0254320987654,0.229845679012,0.0162654320988
142,00:00:04.738,29.1944135802,0.00728395061728,10.3152366255,1.74401234568
143,00:00:04.771,0.230679012346,0.00546296296296,0.0810082304527,0.00688271604938
144,00:00:04.804,0.130864197531,0.00626543209877,0.0475925925926,0.00564814814815
145,00:00:04.838,0.41049382716,0.0768209876543,0.190072016461,0.0829012345679
146,00:00:04.871,0.579783950617,0.0658641975309,0.244938271605,0.0891666666667
147,00:00:04.904,29.2222530864,0.196172839506,10.4143209877,1.82453703704
148,00:00:04.938,1.42555555556,1.2187037037,0.919516460905,0.114290123457
149,00:00:04.971,0.683703703704,1.21089506173,0.647911522634,0.0491358024691
150,00:00:05.005,29.7492283951,0.0258641975309,10.513281893,1.76475308642
151,00:00:05.038,0.0229012345679,0.00203703703704,0.00909465020576,0.00234567901235
152,00:00:05.071,0.0438580246914,0.00611111111111,0.0175617283951,0.00271604938272
153,00:00:05.105,0.156543209877,0.0106172839506,0.0581995884774,0.00743827160494
154,00:00:05.138,0.0160802469136,0.0045987654321,0.00788065843621,0.00296296296296
155,00:00:05.171,28.2864197531,1.13722222222,10.3743518519,1.69941358025
156,00:00:05.205,1.3737962963,0.0743209876543,0.50883744856,0.0783950617284
157,00:00:05.238,0.547561728395,1.18410493827,0.58287037037,0.0169444444444
158,00:00:05.271,28.4545061728,0.0105864197531,10.0481069959,1.67922839506
159,00:00:05.305,0.00712962962963,0.00070987654321,0.00272633744856,0.00033950617284
160,00:00:05.338,0.0451543209877,0.00179012345679,0.0166563786008,0.00302469135802
161,00:00:05.372,0.00274691358025,0.00234567901235,0.00194444444444,0.000740740740741
162,00:00:05.405,28.1832098765,1.13098765432,10.3317695473,1.68111111111
163,00:00:05.438,0.139475308642,0.0626851851852,0.0695781893004,0.00657407407407
164,00:00:05.472,0.525679012346,1.18728395062,0.577736625514,0.0202469135802
165,00:00:05.505,28.5820679012,0.0204938271605,10.0981481481,1.69188271605
166,00:00:05.538,0.0402469135802,0.0016975308642,0.0145164609053,0.0016049382716
167,00:00:05.572,0.309598765432,0.0143209876543,0.110411522634,0.00731481481481
168,00:00:05.605,0.134969135802,0.0144444444444,0.0519958847737,0.00657407407407
169,00:00:05.638,28.1247530864,1.12209876543,10.3132921811,1.69302469136
170,00:00:05.672,0.141604938272,0.061975308642,0.0700514403292,0.00657407407407
171,00:00:05.705,30.0177777778,1.19555555556,11.0021296296,1.79305555556
172,00:00:05.739,0.000462962962963,0.000864197530864,0.00048353909465,0.000123456790123
173,00:00:05.772,0.0,9.25925925926e-05,3.08641975309e-05,0.0
174,00:00:05.805,0.0,9.25925925926e-05,3.08641975309e-05,0.0
175,00:00:05.839,0.000462962962963,0.000617283950617,0.000401234567901,0.000123456790123
176,00:00:05.872,28.179691358,1.13324074074,10.332345679,1.68410493827
177,00:00:05.905,1.36577160494,1.13456790123,0.86146090535,0.0840432098765
178,00:00:05.939,29.1305864198,0.0100617283951,10.2954938272,1.74583333333
179,00:00:05.972,0.0066975308642,0.000586419753086,0.00257201646091,0.000432098765432
180,00:00:06.006,0.0475617283951,0.00287037037037,0.0178086419753,0.00299382716049
181,00:00:06.039,0.0524691358025,0.00348765432099,0.0196810699588,0.00308641975309
182,00:00:06.072,0.0875925925926,0.00367283950617,0.0318209876543,0.0041975308642
183,00:00:06.106,28.0758024691,0.00336419753086,9.92097736626,1.6837654321
